296	4
296	4
296	4
330	4
330	4
330	4
297	4
297	4
297	4
351	4
351	5
351	4
202	1
202	3
202	3
282	1
282	1
282	4
22	1
22	1
22	0
106	1
106	4
106	2
156	1
156	2
156	3
20	0
20	0
20	0
34	0
34	0
34	0
110	0
110	2
110	1
19	0
19	0
19	0
34	0
34	0
34	1
75	0
75	1
75	1
119	0
119	1
119	2
86	1
86	1
86	2
63	0
63	1
63	4
16	0
16	0
16	0
17	1
17	0
17	1
28	0
28	0
28	0
40	0
40	0
40	0
94	1
94	2
94	1
27	0
27	0
27	0
44	0
44	0
44	0
74	0
74	1
74	1
203	1
203	4
203	3
154	1
154	3
154	3
238	1
238	1
238	1
200	1
200	4
200	4
161	3
161	3
161	3
76	1
76	1
76	4
210	1
210	4
210	4
226	1
226	3
226	3
76	1
76	1
76	1
73	1
73	1
73	1
30	0
30	0
30	0
86	1
86	1
86	1
190	1
190	4
190	3
135	1
135	3
135	3
32	0
32	0
32	0
78	1
78	1
78	1
363	1
363	1
363	1
249	1
249	4
249	4
130	1
130	1
130	1
82	4
82	2
82	2
121	1
121	1
121	1
108	1
108	4
108	4
68	1
68	1
68	1
141	0
141	0
141	0
159	0
159	0
159	1
